time_h,D,E,C,H_e,M_t
1.85,1.189385672686247,0.8274529751819064,0.3997837377975901,0.7708269058702027,0.1605560384733691
1.86,1.190781099927151,0.7693429290903945,0.4076452709213026,0.7791787715289343,0.16097169869578823
1.87,1.1920747873179909,0.7795068537428909,0.41458807271814435,0.7873029689971162,0.16138519842841106
1.8800000000000001,1.1932675035973985,0.804428329066284,0.4106490113031799,0.7958342814456267,0.16179578616574097
1.8900000000000001,1.1943600301754291,0.8595438161448666,0.4322686842999218,0.8041132186670195,0.1622113898364431
1.9000000000000001,1.195353160630994,0.8112638861619952,0.4184134394950568,0.8120587675279781,0.16261547649364158
1.9100000000000001,1.1962477002172167,0.834819783745838,0.4123889715311036,0.8200054620722453,0.16301649532400972
1.92,1.1970444653747165,0.7707609871031194,0.4500824628150458,0.8283321519373131,0.1634137870817462
1.93,1.1977442832527934,0.7948656319898879,0.4466317639267126,0.8366382188240041,0.1638085945280045
1.94,1.1983479912385022,0.8362369438069233,0.4006035193542166,0.8452448878719913,0.1641946828023831
1.95,1.198856436493602,0.8322872718702705,0.42128052387344367,0.8536857471955431,0.16457989636157205
1.96,1.1992704754993442,0.8013799493694859,0.40287544477897064,0.8616127202241864,0.16495529056049027
1.97,1.1995909736090828,0.8047714897681331,0.3827706403976057,0.8699795720433106,0.16532354780201478
1.98,1.1998188046086762,0.8060006983065512,0.42594209783008147,0.877999985389998,0.1656952297191839
1.99,1.1999548502846353,0.8208766304877125,0.4146221285685088,0.8866932614548688,0.16606211156369052
2.0,1.2,0.8144109433798076,0.449775987880311,0.894959017246558,0.16643036349342866
2.0100000000000002,1.1999551502778856,0.8060417896431079,0.41999772559324144,0.9031482843206388,0.16678907537371002
2.02,1.1998212043926737,0.8207372510923141,0.43208410044549467,0.8937859840488978,0.16715549027985893
2.0300000000000002,1.1995990719687935,0.8645327828008499,0.42528167254180277,0.8841642363526828,0.16752925067246335
2.04,1.199289668587048,0.7810873335688325,0.4164572187776679,0.8749658480870678,0.1678986657199521
2.05,1.198893915398441,0.789534203340089,0.42229062188781635,0.8657066908052741,0.1682742705191852
2.06,1.198412738745448,0.7894850604807805,0.4187598071572545,0.8567528420677586,0.1686536874696851
2.07,1.1978470697906807,0.7991700580292407,0.41800412864723036,0.8473734335059215,0.16903850574523016
